metric,formula,counters,description
l2_global_atomic_store_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_atom.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_atom.sum""","""Bytes written to L2 from L1 for global atomics (ATOM and ATOM CAS)"""
l2_global_load_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld.sum""","""Bytes read from L2 for misses in L1 for global loads"""
l2_local_global_store_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_st.sum + lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_st.sum,lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st.sum""","""Bytes written to L2 from L1 for local and global stores. This does not include global atomics."""
l2_local_load_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld.sum""","""Bytes read from L2 for misses in L1 for local loads"""
l2_read_throughput,lts__t_sectors_op_read.sum.per_second,"""lts__t_sectors_op_read.sum.per_second""","""Memory read throughput seen at L2 cache for all read requests"""
l2_read_transactions,lts__t_sectors_op_read.sum,"""lts__t_sectors_op_read.sum""","""Memory read transactions seen at L2 cache for all read requests"""
l2_surface_load_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld.sum""","""Bytes read from L2 for misses in L1 for surface loads"""
l2_surface_store_bytes,lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_st.sum,"""lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_st.sum""","""Bytes read from L2 for misses in L1 for surface stores"""
l2_tex_hit_rate,lts__t_sector_hit_rate.pct,"""lts__t_sector_hit_rate.pct""","""Hit rate at L2 cache for all requests from texture cache"""
l2_tex_read_hit_rate,lts__t_sector_op_read_hit_rate.pct,"""lts__t_sector_op_read_hit_rate.pct""","""Hit rate at L2 cache for all read requests from texture cache"""
l2_tex_read_throughput,lts__t_sectors_srcunit_tex_op_read.sum.per_second,"""lts__t_sectors_srcunit_tex_op_read.sum.per_second""","""Memory read throughput seen at L2 cache for read requests from the texture cache"""
l2_tex_read_transactions,lts__t_sectors_srcunit_tex_op_read.sum,"""lts__t_sectors_srcunit_tex_op_read.sum""","""Memory read transactions seen at L2 cache for read requests from the texture cache"""
l2_tex_write_hit_rate,lts__t_sector_op_write_hit_rate.pct,"""lts__t_sector_op_write_hit_rate.pct""","""Hit Rate at L2 cache for all write requests from texture cache"""
l2_tex_write_throughput,lts__t_sectors_srcunit_tex_op_read.sum.per_second,"""lts__t_sectors_srcunit_tex_op_read.sum.per_second""","""Memory write throughput seen at L2 cache for write requests from the texture cache"""
l2_tex_write_transactions,lts__t_sectors_srcunit_tex_op_read.sum,"""lts__t_sectors_srcunit_tex_op_read.sum""","""Memory write transactions seen at L2 cache for write requests from the texture cache"""
l2_utilization,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,"""lts__t_sectors.avg.pct_of_peak_sustained_elapsed""","""The utilization level of the L2 cache relative to the peak utilization on a scale of 0 to 10"""
l2_write_throughput,lts__t_sectors_op_write.sum.per_second,"""lts__t_sectors_op_write.sum.per_second""","""Memory write throughput seen at L2 cache for all write requests"""
l2_write_transactions,lts__t_sectors_op_write.sum,"""lts__t_sectors_op_write.sum""","""Memory write transactions seen at L2 cache for all write requests"""
ldst_fu_utilization,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,"""smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute shared load, shared store and constant load instructions on a scale of 0 to 10"""
local_load_requests,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,"""l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum""","""Total number of local load requests from Multiprocessor"""
local_load_throughput,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum.per_second,"""l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum.per_second""","""Local memory load throughput"""
local_load_transactions,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,"""l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum""","""Number of local memory load transactions"""
local_load_transactions_per_request,l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld.ratio,"""l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld.ratio""","""Average number of local memory load transactions performed for each local memory load"""
local_store_requests,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,"""l1tex__t_requests_pipe_lsu_mem_local_op_st.sum""","""Total number of local store requests from Multiprocessor"""
local_store_throughput,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum.per_second,"""l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum.per_second""","""Local memory store throughput"""
local_store_transactions,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,"""l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum""","""Number of local memory store transactions"""
local_store_transactions_per_request,l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st.ratio,"""l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st.ratio""","""Average number of local memory store transactions performed for each local memory store"""
pcie_total_data_received,pcie__read_bytes.sum,"""pcie__read_bytes.sum""","""Total data bytes received through PCIe"""
pcie_total_data_transmitted,pcie__write_bytes.sum,"""pcie__write_bytes.sum""","""Total data bytes transmitted through PCIe"""
shared_efficiency,smsp__sass_average_data_bytes_per_wavefront_mem_shared.pct,"""smsp__sass_average_data_bytes_per_wavefront_mem_shared.pct""","""Ratio of requested shared memory throughput to required shared memory throughput expressed as percentage"""
shared_load_throughput,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.per_second,"""l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.per_second""","""Shared memory load throughput"""
shared_load_transactions,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,"""l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum""","""Number of shared memory load transactions"""
shared_store_throughput,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.per_second,"""l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.per_second""","""Shared memory store throughput"""
shared_store_transactions,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,"""l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum""","""Number of shared memory store transactions"""
shared_utilization,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,"""l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed""","""The utilization level of the shared memory relative to peak utilization on a scale of 0 to 10"""
single_precision_fu_utilization,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,"""smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute single-precision floating-point instructions on a scale of 0 to 10"""
sm_efficiency,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,"""smsp__cycles_active.avg.pct_of_peak_sustained_elapsed""","""The percentage of time at least one warp is active on a specific multiprocessor"""
sm_tex_utilization,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,"""l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed""",""""""
special_fu_utilization,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,"""smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute sin, cos, ex2, popc, flo, and similar instructions on a scale of 0 to 10"""
stall_constant_memory_dependency,smsp__warp_issue_stalled_imc_miss_per_warp_active.pct,"""smsp__warp_issue_stalled_imc_miss_per_warp_active.pct""","""Percentage of stalls occurring because of immediate constant cache miss"""
stall_exec_dependency,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct + smsp__warp_issue_stalled_wait_per_warp_active.pct,"""smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,smsp__warp_issue_stalled_wait_per_warp_active.pct""","""Percentage of stalls occurring because an input required by the instruction is not yet available"""
stall_inst_fetch,smsp__warp_issue_stalled_no_instruction_per_warp_active.pct,"""smsp__warp_issue_stalled_no_instruction_per_warp_active.pct""","""Percentage of stalls occurring because the next assembly instruction has not yet been fetched"""
stall_memory_dependency,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,"""smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct""","""Percentage of stalls occurring because a memory operation cannot be performed due to the required resources not being available or fully utilized, or because too many requests of a given type are outstanding"""
stall_memory_throttle,smsp__warp_issue_stalled_drain_per_warp_active.pct + smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,"""smsp__warp_issue_stalled_drain_per_warp_active.pct,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct""","""Percentage of stalls occurring because of memory throttle"""
stall_not_selected,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,"""smsp__warp_issue_stalled_not_selected_per_warp_active.pct""","""Percentage of stalls occurring because warp was not selected"""
stall_other,smsp__warp_issue_stalled_misc_per_warp_active.pct + smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,"""smsp__warp_issue_stalled_misc_per_warp_active.pct,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct""","""Percentage of stalls occurring due to miscellaneous reasons"""
stall_pipe_busy,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct + smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,"""smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct""","""Percentage of stalls occurring because a compute operation cannot be performed because the compute pipeline is busy"""
stall_sleeping,smsp__warp_issue_stalled_sleeping_per_warp_active.pct,"""smsp__warp_issue_stalled_sleeping_per_warp_active.pct""","""Percentage of stalls occurring because warp was sleeping"""
stall_sync,smsp__warp_issue_stalled_membar_per_warp_active.pct + smsp__warp_issue_stalled_barrier_per_warp_active.pct,"""smsp__warp_issue_stalled_membar_per_warp_active.pct,smsp__warp_issue_stalled_barrier_per_warp_active.pct""","""Percentage of stalls occurring because the warp is blocked at a __syncthreads() call"""
stall_texture,smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct,"""smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct""","""Percentage of stalls occurring because the texture sub-system is fully utilized or has too many outstanding requests"""
surface_atomic_requests,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,"""l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum""","""Total number of surface atomic(Atom and Atom CAS) requests from Multiprocessor"""
surface_load_requests,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,"""l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum""","""Total number of surface load requests from Multiprocessor"""
surface_reduction_requests,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,"""l1tex__t_requests_pipe_tex_mem_surface_op_red.sum""","""Total number of surface reduction requests from Multiprocessor"""
surface_store_requests,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,"""l1tex__t_requests_pipe_tex_mem_surface_op_st.sum""","""Total number of surface store requests from Multiprocessor"""
sysmem_read_bytes,lts__t_sectors_aperture_sysmem_op_read* 32,"""lts__t_sectors_aperture_sysmem_op_read*""","""Number of bytes read from system memory"""
sysmem_read_throughput,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,"""lts__t_sectors_aperture_sysmem_op_read.sum.per_second""","""System memory read throughput"""
sysmem_read_transactions,lts__t_sectors_aperture_sysmem_op_read.sum,"""lts__t_sectors_aperture_sysmem_op_read.sum""","""Number of system memory read transactions"""
sysmem_write_bytes,lts__t_sectors_aperture_sysmem_op_write * 32,"""lts__t_sectors_aperture_sysmem_op_write""","""Number of bytes written to system memory"""
sysmem_write_throughput,lts__t_sectors_aperture_sysmem_op_write.sum.per_second,"""lts__t_sectors_aperture_sysmem_op_write.sum.per_second""","""System memory write throughput"""
sysmem_write_transactions,lts__t_sectors_aperture_sysmem_op_write.sum,"""lts__t_sectors_aperture_sysmem_op_write.sum""","""Number of system memory write transactions"""
tensor_precision_fu_utilization,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,"""sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute tensor core instructions on a scale of 0 to 10"""
tex_cache_hit_rate,l1tex__t_sector_hit_rate.pct,"""l1tex__t_sector_hit_rate.pct""","""Unified cache hit rate"""
tex_cache_transactions,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_active + l1tex__tex_writeback_active.avg.pct_of_peak_sustained_active,"""l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_active,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_active""","""Unified cache to Multiprocessor read transactions"""
tex_fu_utilization,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,"""smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active""","""The utilization level of the multiprocessor function units that execute global, local and texture memory instructions on a scale of 0 to 10"""
tex_sm_tex_utilization,l1tex__f_tex2sm_cycles_active.avg.pct_of_peak_sustained_elapsed,"""l1tex__f_tex2sm_cycles_active.avg.pct_of_peak_sustained_elapsed""",""""""
tex_sm_utilization,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,"""sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed""",""""""
texture_load_requests,l1tex__t_requests_pipe_tex_mem_texture.sum,"""l1tex__t_requests_pipe_tex_mem_texture.sum""","""Total number of texture Load requests from Multiprocessor"""
warp_execution_efficiency,smsp__thread_inst_executed_per_inst_executed.ratio,"""smsp__thread_inst_executed_per_inst_executed.ratio""","""Ratio of the average active threads per warp to the maximum number of threads per warp supported on a multiprocessor"""
warp_nonpred_execution_efficiency,smsp__thread_inst_executed_per_inst_executed.pct,"""smsp__thread_inst_executed_per_inst_executed.pct""","""Ratio of the average active threads per warp executing non-predicated instructions to the maximum number of threads per warp supported on a multiprocessor"""
